municipality_code,prefecture,municipality_name,reading_katakana
016446,北海道,池田町,いけだちょう
016454,北海道,豊頃町,とよころちょう
016462,北海道,本別町,ほんべつちょう
016471,北海道,足寄町,あしょろちょう
016489,北海道,陸別町,りくべつちょう
016497,北海道,浦幌町,うらほろちょう
016616,北海道,釧路町,くしろちょう
016624,北海道,厚岸町,あっけしちょう
016632,北海道,浜中町,はまなかちょう
016641,北海道,標茶町,しべちゃちょう
016659,北海道,弟子屈町,てしかがちょう
016675,北海道,鶴居村,つるいむら
016918,北海道,別海町,べつかいちょう
016926,北海道,中標津町,なかしべつちょう
016934,北海道,標津町,しべつちょう
016942,北海道,羅臼町,らうすちょう
016951,北海道,色丹村,しこたんむら
016969,北海道,泊村,とまりむら
016977,北海道,留夜別村,るやべつむら
016985,北海道,留別村,るべつむら
016993,北海道,紗那村,しゃなむら
017001,北海道,蘂取村,しべとろむら
022012,青森県,青森市,あおもりし
022021,青森県,弘前市,ひろさきし
022039,青森県,八戸市,はちのへし
022047,青森県,黒石市,くろいしし
022055,青森県,五所川原市,ごしょがわらし
022063,青森県,十和田市,とわだし
022071,青森県,三沢市,みさわし
022080,青森県,むつ市,むつし
022098,青森県,つがる市,つがるし
022101,青森県,平川市,ひらかわし
023019,青森県,平内町,ひらないまち
023035,青森県,今別町,いまべつまち
023043,青森県,蓬田村,よもぎたむら
023078,青森県,外ヶ浜町,そとがはままち
023213,青森県,鰺ヶ沢町,あじがさわまち
023230,青森県,深浦町,ふかうらまち
023434,青森県,西目屋村,にしめやむら
023612,青森県,藤崎町,ふじさきまち
023621,青森県,大鰐町,おおわにまち
023671,青森県,田舎館村,いなかだてむら
023817,青森県,板柳町,いたやなぎまち
023841,青森県,鶴田町,つるたまち
023876,青森県,中泊町,なかどまりまち
024015,青森県,野辺地町,のへじまち
024023,青森県,七戸町,しちのへまち
024058,青森県,六戸町,ろくのへまち
024066,青森県,横浜町,よこはままち
024082,青森県,東北町,とうほくまち
024112,青森県,六ヶ所村,ろっかしょむら
024121,青森県,おいらせ町,おいらせちょう
024236,青森県,大間町,おおままち
024244,青森県,東通村,ひがしどおりむら
024252,青森県,風間浦村,かざまうらむら
024261,青森県,佐井村,さいむら
024414,青森県,三戸町,さんのへまち
024422,青森県,五戸町,ごのへまち
024431,青森県,田子町,たっこまち
024457,青森県,南部町,なんぶちょう
024465,青森県,階上町,はしかみちょう
024503,青森県,新郷村,しんごうむら
032018,岩手県,盛岡市,もりおかし
032026,岩手県,宮古市,みやこし
032034,岩手県,大船渡市,おおふなとし
032051,岩手県,花巻市,はなまきし
032069,岩手県,北上市,きたかみし
032077,岩手県,久慈市,くじし
032093,岩手県,一関市,いちのせきし
032107,岩手県,陸前高田市,りくぜんたかたし
032115,岩手県,釜石市,かまいしし
032131,岩手県,二戸市,にのへし
032140,岩手県,八幡平市,はちまんたいし
032158,岩手県,奥州市,おうしゅうし
032166,岩手県,滝沢市,たきざわし
033014,岩手県,雫石町,しずくいしちょう
033022,岩手県,葛巻町,くずまきまち
033031,岩手県,岩手町,いわてまち
033219,岩手県,紫波町,しわちょう
033227,岩手県,矢巾町,やはばちょう
033669,岩手県,西和賀町,にしわがまち
033812,岩手県,金ケ崎町,かねがさきちょう
034029,岩手県,平泉町,ひらいずみちょう
034410,岩手県,住田町,すみたちょう
034614,岩手県,大槌町,おおつちちょう
034827,岩手県,山田町,やまだまち
034835,岩手県,岩泉町,いわいずみちょう
034843,岩手県,田野畑村,たのはたむら
034851,岩手県,普代村,ふだいむら
035017,岩手県,軽米町,かるまいまち
035033,岩手県,野田村,のだむら
035068,岩手県,九戸村,くのへむら
035076,岩手県,洋野町,ひろのちょう
035246,岩手県,一戸町,いちのへまち
041009,宮城県,仙台市,せんだいし
042021,宮城県,石巻市,いしのまきし
042030,宮城県,塩竈市,しおがまし
042056,宮城県,気仙沼市,けせんぬまし
042064,宮城県,白石市,しろいしし
042072,宮城県,名取市,なとりし
042081,宮城県,角田市,かくだし
042099,宮城県,多賀城市,たがじょうし
042111,宮城県,岩沼市,いわぬまし
042129,宮城県,登米市,とめし
042137,宮城県,栗原市,くりはらし
042145,宮城県,東松島市,ひがしまつしまし
042153,宮城県,大崎市,おおさきし
042161,宮城県,富谷市,とみやし
043010,宮城県,蔵王町,ざおうまち
043028,宮城県,七ヶ宿町,しちかしゅくまち
043214,宮城県,大河原町,おおがわらまち
043222,宮城県,村田町,むらたまち
043231,宮城県,柴田町,しばたまち
043249,宮城県,川崎町,かわさきまち
043419,宮城県,丸森町,まるもりまち
043613,宮城県,亘理町,わたりちょう
043621,宮城県,山元町,やまもとちょう
044016,宮城県,松島町,まつしままち
044041,宮城県,七ヶ浜町,しちがはままち
044067,宮城県,利府町,りふちょう
044211,宮城県,大和町,たいわちょう
044229,宮城県,大郷町,おおさとちょう
044245,宮城県,大衡村,おおひらむら
