municipality_code,prefecture,municipality_name,reading_hiragana,municipality_category,name_short,reading_short
014681,北海道,下川町,しもかわちょう,町,下川,しもかわ
014699,北海道,美深町,びふかちょう,町,美深,びふか
014702,北海道,音威子府村,おといねっぷむら,村,音威子府,おといねっぷ
014711,北海道,中川町,なかがわちょう,町,中川,なかがわ
014729,北海道,幌加内町,ほろかないちょう,町,幌加内,ほろかない
014818,北海道,増毛町,ましけちょう,町,増毛,ましけ
014826,北海道,小平町,おびらちょう,町,小平,おびら
014834,北海道,苫前町,とままえちょう,町,苫前,とままえ
014842,北海道,羽幌町,はぼろちょう,町,羽幌,はぼろ
014851,北海道,初山別村,しょさんべつむら,村,初山別,しょさんべつ
014869,北海道,遠別町,えんべつちょう,町,遠別,えんべつ
014877,北海道,天塩町,てしおちょう,町,天塩,てしお
015113,北海道,猿払村,さるふつむら,村,猿払,さるふつ
015121,北海道,浜頓別町,はまとんべつちょう,町,浜頓別,はまとんべつ
015130,北海道,中頓別町,なかとんべつちょう,町,中頓別,なかとんべつ
015148,北海道,枝幸町,えさしちょう,町,枝幸,えさし
015164,北海道,豊富町,とよとみちょう,町,豊富,とよとみ
015172,北海道,礼文町,れぶんちょう,町,礼文,れぶん
015181,北海道,利尻町,りしりちょう,町,利尻,りしり
015199,北海道,利尻富士町,りしりふじちょう,町,利尻富士,りしりふじ
015202,北海道,幌延町,ほろのべちょう,町,幌延,ほろのべ
015431,北海道,美幌町,びほろちょう,町,美幌,びほろ
015440,北海道,津別町,つべつちょう,町,津別,つべつ
015458,北海道,斜里町,しゃりちょう,町,斜里,しゃり
015466,北海道,清里町,きよさとちょう,町,清里,きよさと
015474,北海道,小清水町,こしみずちょう,町,小清水,こしみず
015491,北海道,訓子府町,くんねっぷちょう,町,訓子府,くんねっぷ
015504,北海道,置戸町,おけとちょう,町,置戸,おけと
015521,北海道,佐呂間町,さろまちょう,町,佐呂間,さろま
015555,北海道,遠軽町,えんがるちょう,町,遠軽,えんがる
015598,北海道,湧別町,ゆうべつちょう,町,湧別,ゆうべつ
015601,北海道,滝上町,たきのうえちょう,町,滝上,たきのうえ
015610,北海道,興部町,おこっぺちょう,町,興部,おこっぺ
015628,北海道,西興部村,にしおこっぺむら,村,西興部,にしおこっぺ
015636,北海道,雄武町,おうむちょう,町,雄武,おうむ
015644,北海道,大空町,おおぞらちょう,町,大空,おおぞら
015717,北海道,豊浦町,とようらちょう,町,豊浦,とようら
015750,北海道,壮瞥町,そうべつちょう,町,壮瞥,そうべつ
015784,北海道,白老町,しらおいちょう,町,白老,しらおい
015814,北海道,厚真町,あつまちょう,町,厚真,あつま
015849,北海道,洞爺湖町,とうやこちょう,町,洞爺湖,とうやこ
015857,北海道,安平町,あびらちょう,町,安平,あびら
015865,北海道,むかわ町,むかわちょう,町,むかわ,むかわ
016012,北海道,日高町,ひだかちょう,町,日高,ひだか
016021,北海道,平取町,びらとりちょう,町,平取,びらとり
016047,北海道,新冠町,にいかっぷちょう,町,新冠,にいかっぷ
016071,北海道,浦河町,うらかわちょう,町,浦河,うらかわ
016080,北海道,様似町,さまにちょう,町,様似,さまに
016098,北海道,えりも町,えりもちょう,町,えりも,えりも
016101,北海道,新ひだか町,しんひだかちょう,町,新ひだか,しんひだか
016314,北海道,音更町,おとふけちょう,町,音更,おとふけ
016322,北海道,士幌町,しほろちょう,町,士幌,しほろ
016331,北海道,上士幌町,かみしほろちょう,町,上士幌,かみしほろ
016349,北海道,鹿追町,しかおいちょう,町,鹿追,しかおい
016357,北海道,新得町,しんとくちょう,町,新得,しんとく
016365,北海道,清水町,しみずちょう,町,清水,しみず
016373,北海道,芽室町,めむろちょう,町,芽室,めむろ
016381,北海道,中札内村,なかさつないむら,村,中札内,なかさつない
016390,北海道,更別村,さらべつむら,村,更別,さらべつ
016411,北海道,大樹町,たいきちょう,町,大樹,たいき
016420,北海道,広尾町,ひろおちょう,町,広尾,ひろお
016438,北海道,幕別町,まくべつちょう,町,幕別,まくべつ
016446,北海道,池田町,いけだちょう,町,池田,いけだ
016454,北海道,豊頃町,とよころちょう,町,豊頃,とよころ
016462,北海道,本別町,ほんべつちょう,町,本別,ほんべつ
016471,北海道,足寄町,あしょろちょう,町,足寄,あしょろ
016489,北海道,陸別町,りくべつちょう,町,陸別,りくべつ
016497,北海道,浦幌町,うらほろちょう,町,浦幌,うらほろ
016616,北海道,釧路町,くしろちょう,町,釧路,くしろ
016624,北海道,厚岸町,あっけしちょう,町,厚岸,あっけし
016632,北海道,浜中町,はまなかちょう,町,浜中,はまなか
016641,北海道,標茶町,しべちゃちょう,町,標茶,しべちゃ
016659,北海道,弟子屈町,てしかがちょう,町,弟子屈,てしかが
016675,北海道,鶴居村,つるいむら,村,鶴居,つるい
016683,北海道,白糠町,しらぬかちょう,町,白糠,しらぬか
